Alcohol,Calidad (Lineal),Calidad (Cuadratica),Calidad (Cubica)
8.0,4.0,4.0,4.0
8.0,4.09480122324159,3.6954776656433315,2.0646944355772203
8.0,4.189602446483181,3.5233513771213802,1.1768826796031497
8.0,4.284403669724771,3.483621134434146,1.1133586068529575
8.0,4.379204892966361,3.576286937581627,1.6509160921018151
8.0,4.474006116207951,3.801348786563826,2.566349010124892
8.0,4.568807339449542,4.158806681380742,3.636451235697357
8.0,4.663608562691132,4.648660622032374,4.638016643594383
8.0,5.155963302752296,5.267847172936205,5.3478391085911365
9.0,5.5100385587022975,5.564142479754146,5.544182170427627
9.0,5.292957496786771,5.274517896651234,5.28164049826054
9.0,5.267558528428098,5.194047295179292,5.196194409574113
9.0,5.474916387959871,5.46884424864602,5.456947910801582
9.0,5.602556407838069,5.640913123897331,5.649358922434104
9.0,5.694972266008878,5.698264843645688,5.699111605142169
9.0,5.708839018578771,5.727555448445895,5.725946294789916
9.0,5.703558797812782,5.707132728023176,5.705912316239076
9.0,5.634622261082909,5.624694964884718,5.625035623524076
9.0,5.595221368157148,5.59118638066352,5.595063114051488
9.0,5.596715982037083,5.612623057284569,5.611188327140944
9.0,5.516233051086217,5.522491944450271,5.520698799543604
9.0,5.393761621563475,5.387238927822802,5.388926482803861
9.0,5.415741586200205,5.403868046631487,5.387256790263669
9.0,5.438913959508177,5.4486298206422905,5.457102402827389
9.0,5.377966343914418,5.403670557795991,5.45288015075877
9.0,5.368946082204027,5.288715499939476,5.218371502810307
9.0,5.442144130808974,5.258233905321196,5.185962472266057
10.0,5.568807339449428,5.589924038819301,5.582891714465303
10.0,5.466599770642203,5.514895506697196,5.479611772121453
10.0,5.1111402359108995,4.958559152645412,4.967782727553234
10.0,5.36906946264743,5.397342001905395,5.397647407835427
10.0,5.166284403669723,5.108674799843208,5.122759202746776
10.0,5.632175321942597,5.787335674838377,5.806478441655141
10.0,5.652396683780826,5.7523627602468315,5.8082471498548
10.0,5.620719251923134,5.484187767163345,5.3918937052127225
10.0,5.5539750675681985,5.440831683109161,5.41693965628926
10.0,5.914896185417513,5.939872690174178,5.853752826553249
10.0,5.7971994205699895,5.7793946554014894,5.802285140911089
10.0,6.4378969654198945,6.379093164559258,6.348143719920068
10.0,5.688907800240775,5.506438405390048,5.518889008546967
10.0,5.749906596371786,5.6352108536073615,5.573705790789604
10.0,5.808370810097737,5.970852576844244,6.0963404927818825
10.0,5.8648797745397845,6.013230037488108,6.072393072282
10.0,5.273190621814797,4.8973964368382115,4.8245070377175825
11.0,5.762614678899037,5.789461366448571,5.7592288434007255
11.0,5.422018348625088,5.483150268981624,5.526553044843856
11.0,6.130532753903088,6.320125847840088,6.437117148023188
11.0,6.5321100917431325,6.669968845807354,6.652149778273149
11.0,5.957390417940878,5.6315829300453375,5.570968319504658
11.0,5.87733605164798,5.788566125276492,5.713364644106931
11.0,5.95626602415593,6.148214362705501,6.398947725287307
11.0,6.077356130108424,6.0682453178352205,6.055693901994812
11.0,6.7339449541279475,7.532040800735512,7.540993620665501
11.0,5.969457670421562,6.569290029081548,6.619102735430965
11.0,6.014148336465043,6.10283458062484,6.122378784615141
11.0,6.094366325064347,5.966651722435048,5.842936506922444
11.0,6.09032789085569,5.932788346876821,5.887913147860167
11.0,6.665792922673374,6.911181410715389,6.907909403007016
11.0,6.36451993823239,6.363307445460093,6.364849481210008
11.0,6.0,6.003300676810461,6.003754816776812
11.0,5.933960118280426,5.874425003243747,5.854367797027209
11.0,6.01772310258531,5.9729424220280665,5.969346525788162
12.0,6.090387823185989,6.142764919065857,6.187427803432541
12.0,6.087355404866375,5.970824632912042,5.929359111621612
12.0,6.28899082568751,6.3121570271663945,6.306584336037551
12.0,6.114046187915219,6.123713622905192,6.121740868548946
12.0,6.490366972477064,6.598254302092378,6.610682543326714
12.0,6.078746177370034,6.063077981087252,5.998520208427623
12.0,5.567076337199255,5.344330827251887,5.3723697287961665
12.0,6.84195949454735,6.94257944813536,6.9598539463722116
12.0,6.57177549919049,6.598415028710652,6.616142541942323
12.0,6.074203993524015,6.039240376714011,6.041108743788207
12.0,6.4903759669004595,6.507130530026734,6.50276012161755
12.0,6.496266268401962,6.499996049200131,6.504796324202454
12.0,6.158310219756735,6.17373042701677,6.115475085316947
12.0,5.5127256584788595,5.44209792542901,5.538048217858364
12.0,5.498076353949747,5.4630389694836134,5.519696310708028
12.0,5.994603345925756,5.7987111945549294,5.635015717965211
12.0,6.451243181034988,6.865264061401906,6.990378385022226
12.0,6.489640699874511,6.515313408104237,6.54918962574902
13.0,6.581113444604104,6.51117563484571,6.414204268741552
13.0,6.6583660987330715,6.68644641741915,6.707244283111105
13.0,6.594036697247707,6.786148956485587,6.827590165056218
13.0,6.319954128440368,6.258063458804383,6.239148436733753
13.0,6.476724430852858,6.386923379489717,6.345544187154199
13.0,6.907188971409173,7.457577733155481,7.561113402660131
13.0,6.997475850686911,7.062747812314585,7.063384480911997
13.0,6.747039912177526,6.111688120622763,6.086375851747638
13.0,6.802242609582058,6.823177784084248,6.83502635409304
13.0,6.917431192660554,6.9859852957544,6.994043766288432
13.0,6.281345565748858,6.236825062353207,6.2391344003557485
13.0,6.504587155963445,6.409149284422829,6.353555007087567
13.0,6.809305373525557,7.0104322350108665,7.0510523331519055
13.0,6.849934469200522,6.875661093922435,6.8989180568999355
13.0,6.853800786369593,6.828640193773573,6.782882682242241
13.0,6.840214067278292,6.85090412548755,6.856936551918415
13.0,6.688532110091747,6.843478768695348,6.867245426863158
14.0,6.379969418960264,6.360800050086386,6.345844833208212
14.0,6.162079510703354,6.077391373090238,6.061764195676717
14.0,6.541284403669719,6.647911473976217,6.702850483861137
14.0,6.920489296636082,7.025441000104032,7.038677493088186
14.0,6.550458715596341,6.545278903086307,6.510013368983038
14.0,6.018348623853193,5.999641050099974,5.99951004194102
14.0,6.587155963302736,6.546474368882361,6.50688611099731
14.0,7.0,7.083286784319503,7.09396701027875
14.0,7.0,7.039254873083686,7.070700666791055
14.0,7.0,6.994782225064151,6.981331611466032
14.0,7.0,7.006106729184179,7.064181228357977
14.0,7.0,7.007845987496128,7.13684965928094
14.0,7.0,7.0,7.0
