Alcohol,Calidad (Lineal),Calidad (Cuadratica),Calidad (Cubica)
8.4,4.5,4.5,4.5
8.47,4.82828282828283,4.7906851649025946,4.705561133660344
8.53,5.15656565656566,5.22512610155315,5.317653438781845
8.6,5.48484848484849,5.803322809951668,5.941881002752928
8.66,5.813131313131319,6.132898589554349,6.183847912962018
8.73,5.717171717171706,5.744614186355021,5.6782739712150425
8.79,5.060606060606058,5.02436164793476,5.010263274604969
8.86,5.119191919191921,5.218173351204207,5.481820303577727
8.93,5.250505050505052,6.189883750157688,6.233122926438221
8.99,5.3818181818181845,5.642139633907186,5.670909439327811
9.06,4.159859464207264,4.028399557854678,4.042377679851803
9.12,5.224637681159421,5.469987477702562,5.436677114743435
9.19,5.24604743083004,5.07928175066821,5.101496291730474
9.25,5.942475603492557,5.972467755682603,5.966129195198222
9.32,5.1879249962185625,4.998039299382977,4.986320421677989
9.38,5.193002927082243,5.136636425550405,5.095491337823676
9.45,5.255978800366591,5.337430594005101,5.427077453131805
9.52,5.375844778722476,5.256483242019968,5.1971473520285
9.58,5.614791987673381,5.80680389846455,5.816355060402702
9.65,5.203205945202179,4.762418668845498,4.687623239102113
9.71,5.263935652824542,5.299267682660641,5.302982862994709
9.78,5.287317620650954,5.183916160388349,5.140932973235776
9.84,5.372434443863015,5.925584852556851,6.118577006534151
9.91,4.970521541950088,4.950154418739036,4.865598626993744
9.98,4.337856173677125,4.148955328203876,4.108836080898893
10.04,5.940683430044907,5.987775494870748,5.953657357354616
10.11,5.514497425690766,5.4745547654854825,5.47946278717127
10.17,5.55033218400471,5.513963414517268,5.504577378802454
10.24,5.569263118670233,5.588587539391723,5.585756342949495
10.3,5.5761457890061,5.576848534811653,5.578920826818691
10.37,5.582454254294609,5.617198893879581,5.642332216949922
10.44,5.610590800616282,5.478033963917921,5.416636069079938
10.5,5.673752449871877,5.671870541590374,5.6737740644824814
10.57,6.309523809523816,6.4352524408630245,6.4347077164936275
10.63,5.843915343915339,5.636688897095885,5.59725570413318
10.7,5.671957671957671,5.656501721990499,5.654145324726897
10.76,6.012987012987013,6.046293429246553,6.047781350378431
10.83,5.932041503470076,5.9637614088982875,5.954704488537182
10.89,5.672988387274102,5.666419078860292,5.669643212117503
10.96,5.7092439441107725,5.626791071228638,5.606014370617763
11.03,5.8459167950692885,5.885712351458627,5.902764763101764
11.09,5.859708193041567,5.85903340645397,5.863139607604306
11.16,5.857463524130192,5.776751012838683,5.752468169944163
11.22,5.929222783389452,5.952307339127049,5.970931947051343
11.29,6.0432098765432105,6.072994983427668,6.077261303569381
11.35,5.874999999999999,5.860709518010432,5.861931464845422
11.42,5.7688341750841765,5.717440615574159,5.717401177323158
11.49,5.931607744107747,5.9154332610206914,5.911732366386442
11.55,6.15555555555556,6.152157710195808,6.14621503461468
11.62,6.3806177719221235,6.4008417773728,6.414088010068718
11.68,6.561411213585132,6.613728364697292,6.627845931009474
11.75,6.447321793648626,6.422690213111013,6.370517596819402
11.81,6.2651340996168585,6.307484830393111,6.355364282516338
11.88,6.215325670498084,6.517780171938199,6.544985447670576
11.95,5.109090909090898,5.012341317444663,5.016343834040463
12.01,6.313797313797318,6.519727679357366,6.5494734943890185
12.08,6.47974247974248,6.643713989506992,6.726698371815931
12.14,6.416083916083914,6.35916029251013,6.297251142147956
12.21,6.2769360269360295,6.2596068912610665,6.2686565494911894
12.27,6.495791245791246,6.517931928137577,6.5171991210196225
12.34,6.5353535353535355,6.573493713480231,6.569923581033158
12.41,6.464683464683465,6.458491328704993,6.45746301307569
12.47,6.5055685055685055,6.502327990445803,6.4947182954097755
12.54,6.515151515151515,6.529208387080734,6.533160589675675
12.6,6.498877665544332,6.498805256824163,6.498541312252717
12.67,6.462401795735128,6.454965949819698,6.45600203513946
12.73,6.453159041394336,6.4475653779440645,6.4434067042060335
12.8,6.470324156598666,6.470456461036489,6.4699349994370685
12.86,6.3818577936224985,6.452859747498324,6.462582277599583
12.93,6.131313131313124,6.135023867535446,6.114250488513541
13.0,5.693602693602685,5.675176955039514,5.675816939522491
13.06,5.872053872053872,5.8492866687371885,5.8281777132897785
13.13,6.0,6.036768779125573,6.048333019326717
13.19,6.0,5.996835288172506,6.005247714251501
13.26,6.1952861952862,6.109023961696186,6.069707170605541
13.32,6.49494949494949,6.5384191400520795,6.592828756435832
13.39,6.932659932659942,7.0296699832364125,7.04560204102825
13.46,6.444444444444445,6.2457203251168,6.230757286102822
13.52,6.318181818181689,6.275499132310804,6.306964849626351
13.59,6.848484848484944,6.8833542305525866,6.901489385730277
13.65,6.745310245310245,6.33218801651218,6.228781148834181
13.72,6.7394480519480515,6.070034149278164,5.84891556589262
13.78,6.733585858585859,6.096892628850534,5.733159954147366
13.85,6.727723665223666,6.320093307387283,5.841086924385303
13.92,6.721861471861472,6.516046777787722,6.1322690873933094
13.98,6.715999278499279,6.674872341239876,6.566279053958263
14.05,6.625781625781624,6.7965699977437435,7.102689434867048
14.11,6.5007215007214985,6.881139747299326,7.70107284090654
14.18,6.375661375661374,6.928581589906621,8.321001882863621
14.24,6.250601250601249,6.938895525565631,8.92204917152517
14.31,6.125541125541123,6.912081554276353,9.463787317678067
14.37,6.000481000480998,6.848139676038791,9.90578893210919
14.44,5.875420875420876,6.747069890852944,10.0
14.51,5.7503607503607475,6.608872198718807,10.0
14.57,5.625300625300626,6.433546599636391,10.0
14.64,5.500240500240498,6.221093093605679,9.867882288353558
14.7,5.375180375180376,5.971511680626693,9.204790405979036
14.77,5.250120250120247,5.684802360699406,8.199397656603981
14.83,5.125060125060125,5.36096513382385,6.811276651015373
14.9,5.0,5.0,5.0
