pH,Calidad
2.72,6.0
2.74,6.0
2.77,6.0
2.79,5.0
2.8,5.666666666666667
2.82,6.0
2.83,4.75
2.84,7.0
2.85,5.555555555555555
2.86,5.555555555555555
2.87,5.222222222222222
2.88,5.818181818181818
2.89,5.411764705882353
2.9,6.225806451612903
2.91,5.6
2.92,5.777777777777778
2.93,5.815789473684211
2.94,6.3428571428571425
2.95,5.576923076923077
2.96,5.7936507936507935
2.97,5.8125
2.98,6.024390243902439
2.99,5.852941176470588
3.0,5.9324324324324325
3.01,5.591836734693878
3.02,5.75
3.03,5.756410256410256
3.04,5.979381443298969
3.05,5.617977528089888
3.06,5.808695652173913
3.07,5.848101265822785
3.08,5.742647058823529
3.09,5.717391304347826
3.1,5.7555555555555555
3.11,5.753968253968254
3.12,5.917910447761194
3.13,5.905982905982906
3.14,5.6976744186046515
3.15,5.8088235294117645
3.16,5.7682926829268295
3.17,5.733870967741935
3.18,5.753623188405797
3.19,5.86896551724138
3.2,5.883211678832117
3.21,5.757894736842105
3.22,5.780821917808219
3.23,5.853448275862069
3.24,5.6893939393939394
3.25,6.0964912280701755
3.26,6.104166666666667
3.27,5.9772727272727275
3.28,6.011494252873563
3.29,5.914634146341464
3.3,5.956989247311828
3.31,5.9113924050632916
3.32,6.011627906976744
3.33,6.346938775510204
3.34,6.063291139240507
3.35,6.0
3.36,6.228915662650603
3.37,5.959183673469388
3.38,6.206896551724138
3.39,6.225
3.4,6.0
3.41,6.6
3.42,6.125
3.43,6.25
3.44,5.818181818181818
3.45,6.411764705882353
3.46,6.071428571428571
3.47,5.857142857142857
3.48,6.095238095238095
3.49,5.956521739130435
3.5,5.6
3.51,6.357142857142857
3.52,5.882352941176471
3.53,5.769230769230769
3.54,6.214285714285714
3.55,6.444444444444445
3.56,5.875
3.57,6.2
3.58,5.0
3.59,6.833333333333333
3.6,5.857142857142857
3.61,6.333333333333333
3.62,6.0
3.63,5.166666666666667
3.64,7.0
3.65,5.75
3.66,5.6
3.67,5.0
3.68,6.0
3.69,5.5
3.7,7.0
3.72,5.333333333333333
3.74,5.5
3.75,6.0
3.76,6.5
3.77,5.0
3.79,5.0
3.8,6.0
3.81,6.0
3.82,7.0
