pH,Calidad
2.74,4.0
2.86,6.0
2.87,6.0
2.88,6.5
2.89,5.5
2.9,6.0
2.92,5.5
2.93,5.666666666666667
2.94,5.5
2.95,7.0
2.98,6.2
2.99,5.0
3.0,5.333333333333333
3.01,6.4
3.02,6.125
3.03,5.333333333333333
3.04,5.6
3.05,5.5
3.06,5.7
3.07,6.181818181818182
3.08,5.363636363636363
3.09,5.7272727272727275
3.1,5.473684210526316
3.11,5.777777777777778
3.12,5.8
3.13,5.3076923076923075
3.14,5.666666666666667
3.15,5.852941176470588
3.16,5.361111111111111
3.17,5.703703703703703
3.18,5.766666666666667
3.19,5.56
3.2,5.6923076923076925
3.21,5.861111111111111
3.22,5.846153846153846
3.23,5.9375
3.24,5.793103448275862
3.25,5.384615384615385
3.26,5.660377358490566
3.27,5.885714285714286
3.28,5.4523809523809526
3.29,5.5
3.3,5.631578947368421
3.31,5.615384615384615
3.32,5.733333333333333
3.33,5.756756756756757
3.34,5.558139534883721
3.35,5.794871794871795
3.36,5.5
3.37,5.648648648648648
3.38,5.604166666666667
3.39,5.458333333333333
3.4,5.72972972972973
3.41,5.647058823529412
3.42,5.848484848484849
3.43,5.470588235294118
3.44,5.551724137931035
3.45,5.55
3.46,5.454545454545454
3.47,5.904761904761905
3.48,5.2105263157894735
3.49,5.3
3.5,5.285714285714286
3.51,5.4
3.52,5.777777777777778
3.53,5.352941176470588
3.54,5.625
3.55,5.25
3.56,5.909090909090909
3.57,5.7
3.58,5.8
3.59,5.125
3.6,5.428571428571429
3.61,5.625
3.62,5.0
3.63,4.333333333333333
3.66,5.0
3.67,5.333333333333333
3.68,5.8
3.69,5.5
3.7,6.0
3.71,6.75
3.72,6.0
3.74,5.0
3.75,4.0
3.78,6.5
3.85,6.0
3.9,5.0
4.01,6.0
