pH,Calidad
2.74,4
2.86,6
2.87,6
2.88,6
2.89,5
2.9,6
2.92,5
2.93,5
2.94,5
2.95,7
2.98,6
2.99,5
3.0,5
3.01,6
3.02,6
3.03,5
3.04,5
3.05,5
3.06,5
3.07,6
3.08,5
3.09,5
3.1,5
3.11,5
3.12,5
3.13,5
3.14,5
3.15,5
3.16,5
3.17,5
3.18,5
3.19,5
3.2,5
3.21,5
3.22,5
3.23,5
3.24,5
3.25,5
3.26,5
3.27,5
3.28,5
3.29,5
3.3,5
3.31,5
3.32,5
3.33,5
3.34,5
3.35,5
3.36,5
3.37,5
3.38,5
3.39,5
3.4,5
3.41,5
3.42,5
3.43,5
3.44,5
3.45,5
3.46,5
3.47,5
3.48,5
3.49,5
3.5,5
3.51,5
3.52,5
3.53,5
3.54,5
3.55,5
3.56,5
3.57,5
3.58,5
3.59,5
3.6,5
3.61,5
3.62,5
3.63,4
3.66,5
3.67,5
3.68,5
3.69,5
3.7,6
3.71,6
3.72,6
3.74,5
3.75,4
3.78,6
3.85,6
3.9,5
4.01,6
